DateRep,CountryExp,CountryCode,ConfCases
2022-05-18,Bulgaria,BG,0
2022-05-18,Croatia,HR,0
2022-05-18,Cyprus,CY,0
2022-05-18,Czechia,CZ,0
2022-05-18,Denmark,DK,6
2022-05-18,Estonia,EE,0
2022-05-18,Finland,FI,0
2022-05-18,France,FR,0
2022-05-18,Germany,DE,0
2022-05-18,Greece,EL,0
2022-05-18,Hungary,HU,0
2022-05-18,Iceland,IS,0
2022-05-18,Ireland,IE,0
2022-05-18,Italy,IT,0
2022-05-18,Latvia,LV,0
2022-05-18,Lithuania,LT,0
2022-05-18,Luxembourg,LU,0
2022-05-18,Malta,MT,0
2022-05-18,Netherlands,NL,0
2022-05-18,Norway,NO,0
2022-05-18,Poland,PL,0
2022-05-18,Portugal,PT,5
2022-05-18,Romania,RO,0
2022-05-18,Slovakia,SK,0
2022-05-18,Slovenia,SI,0
2022-05-18,Spain,ES,23
2022-05-18,Sweden,SE,0
2022-05-19,Austria,AT,0
2022-05-19,Belgium,BE,2
2022-05-19,Bulgaria,BG,0
2022-05-19,Croatia,HR,0
2022-05-19,Cyprus,CY,0
2022-05-19,Czechia,CZ,0
2022-05-19,Denmark,DK,0
2022-05-19,Estonia,EE,0
2022-05-19,Finland,FI,0
2022-05-19,France,FR,1
2022-05-19,Germany,DE,0
2022-05-19,Greece,EL,0
2022-05-19,Hungary,HU,0
2022-05-19,Iceland,IS,0
2022-05-19,Ireland,IE,0
2022-05-19,Italy,IT,0
2022-05-19,Latvia,LV,0
2022-05-19,Lithuania,LT,0
2022-05-19,Luxembourg,LU,0
2022-05-19,Malta,MT,0
2022-05-19,Netherlands,NL,2
2022-05-19,Norway,NO,0
2022-05-19,Poland,PL,0
2022-05-19,Portugal,PT,9
2022-05-19,Romania,RO,0
2022-05-19,Slovakia,SK,0
2022-05-19,Slovenia,SI,0
2022-05-19,Spain,ES,13
2022-05-19,Sweden,SE,0
2022-05-20,Austria,AT,0
2022-05-20,Belgium,BE,1
2022-05-20,Bulgaria,BG,0
2022-05-20,Croatia,HR,0
2022-05-20,Cyprus,CY,0
2022-05-20,Czechia,CZ,0
2022-05-20,Denmark,DK,0
2022-05-20,Estonia,EE,0
2022-05-20,Finland,FI,0
2022-05-20,France,FR,1
2022-05-20,Germany,DE,1
2022-05-20,Greece,EL,0
2022-05-20,Hungary,HU,0
2022-05-20,Iceland,IS,0
2022-05-20,Ireland,IE,0
2022-05-20,Italy,IT,1
2022-05-20,Latvia,LV,0
2022-05-20,Lithuania,LT,0
2022-05-20,Luxembourg,LU,0
2022-05-20,Malta,MT,0
2022-05-20,Netherlands,NL,1
2022-05-20,Norway,NO,0
2022-05-20,Poland,PL,0
2022-05-20,Portugal,PT,82
2022-05-20,Romania,RO,0
2022-05-20,Slovakia,SK,0
2022-05-20,Slovenia,SI,0
2022-05-20,Spain,ES,22
2022-05-20,Sweden,SE,0
2022-05-21,Austria,AT,0
2022-05-21,Belgium,BE,0
2022-05-21,Bulgaria,BG,0
2022-05-21,Croatia,HR,0
2022-05-21,Cyprus,CY,0
2022-05-21,Czechia,CZ,0
2022-05-21,Denmark,DK,0
2022-05-21,Estonia,EE,0
2022-05-21,Finland,FI,0
2022-05-21,France,FR,0
2022-05-21,Germany,DE,0
2022-05-21,Greece,EL,0
2022-05-21,Hungary,HU,0
2022-05-21,Iceland,IS,0
2022-05-21,Ireland,IE,0
2022-05-21,Italy,IT,0
2022-05-21,Latvia,LV,0
2022-05-21,Lithuania,LT,0
2022-05-21,Luxembourg,LU,0
2022-05-21,Malta,MT,0
2022-05-21,Netherlands,NL,3
2022-05-21,Norway,NO,0
2022-05-21,Poland,PL,0
2022-05-21,Portugal,PT,0
2022-05-21,Romania,RO,0
2022-05-21,Slovakia,SK,0
2022-05-21,Slovenia,SI,0
2022-05-21,Spain,ES,11
2022-05-21,Sweden,SE,0
2022-05-22,Austria,AT,1
2022-05-22,Belgium,BE,0
2022-05-22,Bulgaria,BG,0
2022-05-22,Croatia,HR,0
2022-05-22,Cyprus,CY,0
2022-05-22,Czechia,CZ,0
2022-05-22,Denmark,DK,0
2022-05-22,Estonia,EE,0
2022-05-22,Finland,FI,0
2022-05-22,France,FR,1
2022-05-22,Germany,DE,1
2022-05-22,Greece,EL,0
2022-05-22,Hungary,HU,0
2022-05-22,Iceland,IS,0
2022-05-22,Ireland,IE,0
2022-05-22,Italy,IT,0
2022-05-22,Latvia,LV,0
2022-05-22,Lithuania,LT,0
2022-05-22,Luxembourg,LU,0
2022-05-22,Malta,MT,0
2022-05-22,Netherlands,NL,2
2022-05-22,Norway,NO,0
2022-05-22,Poland,PL,0
2022-05-22,Portugal,PT,0
2022-05-22,Romania,RO,0
2022-05-22,Slovakia,SK,0
2022-05-22,Slovenia,SI,0
2022-05-22,Spain,ES,7
2022-05-22,Sweden,SE,0
2022-05-23,Austria,AT,0
2022-05-23,Belgium,BE,2
2022-05-23,Bulgaria,BG,0
2022-05-23,Croatia,HR,0
2022-05-23,Cyprus,CY,0
2022-05-23,Czechia,CZ,0
2022-05-23,Denmark,DK,1
2022-05-23,Estonia,EE,0
2022-05-23,Finland,FI,0
2022-05-23,France,FR,2
2022-05-23,Germany,DE,6
2022-05-23,Greece,EL,1
2022-05-23,Hungary,HU,0
2022-05-23,Iceland,IS,0
2022-05-23,Ireland,IE,0
2022-05-23,Italy,IT,1
2022-05-23,Latvia,LV,0
2022-05-23,Lithuania,LT,0
2022-05-23,Luxembourg,LU,0
2022-05-23,Malta,MT,0
2022-05-23,Netherlands,NL,3
2022-05-23,Norway,NO,0
2022-05-23,Poland,PL,0
2022-05-23,Portugal,PT,14
2022-05-23,Romania,RO,0
2022-05-23,Slovakia,SK,0
2022-05-23,Slovenia,SI,0
2022-05-23,Spain,ES,17
2022-05-23,Sweden,SE,0
2022-05-24,Austria,AT,0
2022-05-24,Belgium,BE,1
2022-05-24,Bulgaria,BG,0
2022-05-24,Croatia,HR,0
2022-05-24,Cyprus,CY,0
2022-05-24,Czechia,CZ,0
2022-05-24,Denmark,DK,1
2022-05-24,Estonia,EE,0
2022-05-24,Finland,FI,1
2022-05-24,France,FR,2
2022-05-24,Germany,DE,7
2022-05-24,Greece,EL,0
2022-05-24,Hungary,HU,0
2022-05-24,Iceland,IS,0
2022-05-24,Ireland,IE,0
2022-05-24,Italy,IT,1
2022-05-24,Latvia,LV,0
2022-05-24,Lithuania,LT,0
2022-05-24,Luxembourg,LU,0
2022-05-24,Malta,MT,0
2022-05-24,Netherlands,NL,5
2022-05-24,Norway,NO,0
2022-05-24,Poland,PL,0
2022-05-24,Portugal,PT,0
2022-05-24,Romania,RO,0
2022-05-24,Slovakia,SK,0
2022-05-24,Slovenia,SI,0
2022-05-24,Spain,ES,14
2022-05-24,Sweden,SE,1
2022-05-25,Austria,AT,0
2022-05-25,Belgium,BE,3
2022-05-25,Bulgaria,BG,0
2022-05-25,Croatia,HR,0
2022-05-25,Cyprus,CY,0
2022-05-25,Czechia,CZ,0
2022-05-25,Denmark,DK,0
2022-05-25,Estonia,EE,0
2022-05-25,Finland,FI,0
2022-05-25,France,FR,2
2022-05-25,Germany,DE,5
2022-05-25,Greece,EL,0
2022-05-25,Hungary,HU,0
2022-05-25,Iceland,IS,0
2022-05-25,Ireland,IE,0
2022-05-25,Italy,IT,8
2022-05-25,Latvia,LV,0
2022-05-25,Lithuania,LT,0
2022-05-25,Luxembourg,LU,0
2022-05-25,Malta,MT,1
2022-05-25,Netherlands,NL,8
2022-05-25,Norway,NO,0
2022-05-25,Poland,PL,0
2022-05-25,Portugal,PT,0
2022-05-25,Romania,RO,0
2022-05-25,Slovakia,SK,0
2022-05-25,Slovenia,SI,1
2022-05-25,Spain,ES,13
2022-05-25,Sweden,SE,0
2022-05-26,Austria,AT,0
2022-05-26,Belgium,BE,0
2022-05-26,Bulgaria,BG,0
2022-05-26,Croatia,HR,0
2022-05-26,Cyprus,CY,0
2022-05-26,Czechia,CZ,0
2022-05-26,Denmark,DK,0
