eventId,eventNumber,eventName_sv,eventName_en,eventDate,eventTime,eventTimestamp,eventHasFaceToFace,filmId,partyId,venueId,venueName,eventTicketStatus,eventBuyURL,eventBuyOneTimeURL,eventModifiedTimestamp
8054,313,Friedkin Uncut ,Friedkin Uncut ,2018-11-09,16:00:00,1541775600,false,12493,NA,7,Sture 2,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8054,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8054,1541517229
8055,314,Angel Face,Angel Face,2018-11-09,16:45:00,1541778300,false,12480,NA,8,Sture 3,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8055,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8055,1541068293
8056,315,Manta Ray,Manta Ray,2018-11-09,17:00:00,1541779200,false,12431,NA,9,Klarabiografen,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8056,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8056,1541522596
8057,316,El Angel,El Angel,2018-11-09,17:00:00,1541779200,false,12441,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8057,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8057,1541549647
8058,317,Shock Waves: Diary of my Mind,Shock Waves: Diary of my Mind,2018-11-09,17:00:00,1541779200,false,12449,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8058,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8058,1541373316
8059,318,Black 47,Black 47,2018-11-09,18:00:00,1541782800,false,12454,NA,32,Bio Rio,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8059,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8059,1541546116
8060,319,Stockholm Visionary Award 2018 - Alla Vet,Everybody Knows,2018-11-09,18:00:00,1541782800,true,12435,NA,1,Skandia,soldout,NA,NA,1541545641
8061,320,Firecrackers,Firecrackers,2018-11-09,18:00:00,1541782800,true,12400,NA,7,Sture 2,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8061,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8061,1541546314
8062,321,American Animals,American Animals,2018-11-09,18:30:00,1541784600,false,12381,NA,50,Filmhuset Victor,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8062,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8062,1541546970
8063,322,Twin Flower,Twin Flower,2018-11-09,18:45:00,1541785500,true,12488,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8063,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8063,1541540171
8064,323,The Man Who Feels No Pain,The Man Who Feels No Pain,2018-11-09,19:00:00,1541786400,true,12477,NA,9,Klarabiografen,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8064,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8064,1541536469
8065,324,En Armé av Älskande,An Army of Lovers,2018-11-09,19:00:00,1541786400,true,12417,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8065,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8065,1541544037
8066,325,Cold War,Cold War,2018-11-09,19:15:00,1541787300,false,12438,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8066,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8066,1541567239
8067,326,Lords of Chaos,Lords of Chaos,2018-11-09,20:00:00,1541790000,true,12470,NA,32,Bio Rio,soldout,NA,NA,1541484858
8068,327,En kniv i hjärtat,Knife + Heart,2018-11-09,20:15:00,1541790900,false,12468,NA,7,Sture 2,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8068,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8068,1541535083
8069,328,Genesis,Genesis,2018-11-09,20:45:00,1541792700,false,12402,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8069,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8069,1541514867
8070,329,När fjärilarna kommer,Butterflies,2018-11-09,21:00:00,1541793600,true,12407,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8070,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8070,1541541862
8071,330,Tumbbad,Tumbbad,2018-11-09,21:15:00,1541794500,false,12479,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8071,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8071,1541546314
8072,331,Suspiria,Suspiria,2018-11-09,22:00:00,1541797200,false,12459,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8072,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8072,1541545518
8073,401,The Man Who Feels No Pain,The Man Who Feels No Pain,2018-11-10,09:00:00,1541836800,false,12477,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8073,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8073,1541546314
