Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Betyg per ämne årskurs 6
Valt läsår: 2018/19

;;;;;;Antal elever;Antal elever;Antal elever;Andel (%) med A-E;Andel (%) med A-E;Andel (%) med A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Vimmerby;0884;Kalmar län;08;Samtliga;Matematik;103;41;62;90,3;~100;..;13,1;14,9;11,9;
Vimmerby;0884;Kalmar län;08;Kommunal;Matematik;103;41;62;90,3;~100;..;13,1;14,9;11,9;
Vindeln;2404;Västerbottens län;24;Samtliga;Matematik;54;30;24;81,5;~100;..;10,8;12,5;8,6;
Vindeln;2404;Västerbottens län;24;Kommunal;Matematik;54;30;24;81,5;~100;..;10,8;12,5;8,6;
Vingåker;0428;Södermanlands län;04;Samtliga;Matematik;108;45;63;81,5;82,2;81,0;10,8;10,7;10,9;
Vingåker;0428;Södermanlands län;04;Kommunal;Matematik;108;45;63;81,5;82,2;81,0;10,8;10,7;10,9;
Vårgårda;1442;Västra Götalands län;14;Samtliga;Matematik;156;74;82;84,0;89,2;79,3;11,9;12,4;11,5;
Vårgårda;1442;Västra Götalands län;14;Kommunal;Matematik;156;74;82;84,0;89,2;79,3;11,9;12,4;11,5;
Vänersborg;1487;Västra Götalands län;14;Samtliga;Matematik;471;232;239;86,8;88,4;85,4;11,8;12,0;11,5;
Vänersborg;1487;Västra Götalands län;14;Kommunal;Matematik;396;198;198;86,9;87,4;86,4;12,0;12,1;11,9;
Vänersborg;1487;Västra Götalands län;14;Enskild;Matematik;75;34;41;86,7;~100;..;10,6;11,7;9,7;
Vännäs;2460;Västerbottens län;24;Samtliga;Matematik;108;48;60;93,5;~100;..;13,5;14,0;13,2;
Vännäs;2460;Västerbottens län;24;Kommunal;Matematik;88;38;50;92,0;~100;..;13,3;13,9;12,9;
Vännäs;2460;Västerbottens län;24;Enskild;Matematik;20;10;10;100,0;100,0;100,0;14,5;14,3;14,8;
Värmdö;0120;Stockholms län;01;Samtliga;Matematik;532;236;296;90,6;92,4;89,2;12,8;13,1;12,6;
Värmdö;0120;Stockholms län;01;Kommunal;Matematik;480;206;274;90,0;92,2;88,3;12,7;13,0;12,5;
Värmdö;0120;Stockholms län;01;Enskild;Matematik;52;30;22;~100;~100;100,0;13,9;13,8;14,1;
Värnamo;0683;Jönköpings län;06;Samtliga;Matematik;407;189;218;84,3;84,7;83,9;11,7;11,7;11,8;
Värnamo;0683;Jönköpings län;06;Kommunal;Matematik;407;189;218;84,3;84,7;83,9;11,7;11,7;11,8;
Västervik;0883;Kalmar län;08;Samtliga;Matematik;359;173;186;85,0;85,0;84,9;11,5;11,8;11,2;
Västervik;0883;Kalmar län;08;Kommunal;Matematik;357;172;185;85,2;85,5;84,9;11,5;11,8;11,2;
Västervik;0883;Kalmar län;08;Enskild;Matematik;..;..;..;..;.;..;..;..;..;
Västerås;1980;Västmanlands län;19;Samtliga;Matematik;1 734;829;905;85,8;87,9;83,9;12,1;12,4;11,7;
Västerås;1980;Västmanlands län;19;Kommunal;Matematik;1 149;513;636;83,2;85,0;81,8;11,5;11,8;11,2;
Västerås;1980;Västmanlands län;19;Enskild;Matematik;585;316;269;90,9;92,7;88,8;13,2;13,3;12,9;
Växjö;0780;Kronobergs län;07;Samtliga;Matematik;1 188;550;638;86,9;86,5;87,1;12,5;12,6;12,4;
Växjö;0780;Kronobergs län;07;Kommunal;Matematik;1 043;488;555;86,5;85,9;87,0;12,4;12,5;12,4;
Växjö;0780;Kronobergs län;07;Enskild;Matematik;145;62;83;89,7;91,9;88,0;12,7;13,3;12,3;
Ydre;0512;Östergötlands län;05;Samtliga;Matematik;38;20;18;84,2;~100;~100;12,2;13,5;10,7;
Ydre;0512;Östergötlands län;05;Kommunal;Matematik;38;20;18;84,2;~100;~100;12,2;13,5;10,7;
Ystad;1286;Skåne län;12;Samtliga;Matematik;379;206;173;90,5;88,3;93,1;13,0;12,8;13,3;
Ystad;1286;Skåne län;12;Kommunal;Matematik;319;167;152;90,0;87,4;92,8;12,8;12,5;13,1;
Ystad;1286;Skåne län;12;Enskild;Matematik;60;39;21;~100;~100;~100;14,1;13,8;14,8;
Åmål;1492;Västra Götalands län;14;Samtliga;Matematik;140;62;78;81,4;80,6;82,1;10,8;10,8;10,9;
Åmål;1492;Västra Götalands län;14;Kommunal;Matematik;115;55;60;80,0;78,2;81,7;10,7;10,2;11,1;
Åmål;1492;Västra Götalands län;14;Enskild;Matematik;25;..;..;~100;..;~100;11,7;..;10,4;
Ånge;2260;Västernorrlands län;22;Samtliga;Matematik;93;38;55;73,1;73,7;72,7;9,2;9,0;9,3;
Ånge;2260;Västernorrlands län;22;Kommunal;Matematik;83;36;47;72,3;72,2;72,3;9,0;8,9;9,1;
Ånge;2260;Västernorrlands län;22;Enskild;Matematik;10;..;..;..;..;..;10,5;..;..;
Åre;2321;Jämtlands län;23;Samtliga;Matematik;138;64;74;89,1;~100;..;12,2;13,2;11,3;
Åre;2321;Jämtlands län;23;Kommunal;Matematik;138;64;74;89,1;~100;..;12,2;13,2;11,3;
Årjäng;1765;Värmlands län;17;Samtliga;Matematik;85;47;38;91,8;..;~100;13,3;12,7;13,9;
Årjäng;1765;Värmlands län;17;Kommunal;Matematik;85;47;38;91,8;..;~100;13,3;12,7;13,9;
Åsele;2463;Västerbottens län;24;Samtliga;Matematik;32;12;20;~100;~100;~100;12,6;10,8;13,6;
Åsele;2463;Västerbottens län;24;Kommunal;Matematik;32;12;20;~100;~100;~100;12,6;10,8;13,6;
Åstorp;1277;Skåne län;12;Samtliga;Matematik;223;111;112;83,0;85,6;80,4;11,1;11,1;11,0;
Åstorp;1277;Skåne län;12;Kommunal;Matematik;223;111;112;83,0;85,6;80,4;11,1;11,1;11,0;
Åtvidaberg;0561;Östergötlands län;05;Samtliga;Matematik;139;73;66;83,5;82,2;84,8;11,4;10,8;12,0;
Åtvidaberg;0561;Östergötlands län;05;Kommunal;Matematik;139;73;66;83,5;82,2;84,8;11,4;10,8;12,0;
Älmhult;0765;Kronobergs län;07;Samtliga;Matematik;182;89;93;81,9;84,3;79,6;11,0;11,9;10,2;
Älmhult;0765;Kronobergs län;07;Kommunal;Matematik;159;75;84;82,4;82,7;82,1;11,3;11,9;10,7;
Älmhult;0765;Kronobergs län;07;Enskild;Matematik;23;..;..;78,3;~100;..;9,5;12,0;..;
Älvdalen;2039;Dalarnas län;20;Samtliga;Matematik;81;43;38;87,7;..;~100;12,4;12,0;12,8;
Älvdalen;2039;Dalarnas län;20;Kommunal;Matematik;81;43;38;87,7;..;~100;12,4;12,0;12,8;
Älvkarleby;0319;Uppsala län;03;Samtliga;Matematik;97;48;49;85,6;87,5;83,7;11,3;11,8;10,9;
Älvkarleby;0319;Uppsala län;03;Kommunal;Matematik;72;33;39;83,3;81,8;84,6;11,1;11,2;11,0;
Älvkarleby;0319;Uppsala län;03;Enskild;Matematik;25;15;10;~100;100,0;..;12,1;13,0;10,8;
Älvsbyn;2560;Norrbottens län;25;Samtliga;Matematik;81;35;46;~100;~100;~100;12,7;12,8;12,6;
Älvsbyn;2560;Norrbottens län;25;Kommunal;Matematik;81;35;46;~100;~100;~100;12,7;12,8;12,6;
Ängelholm;1292;Skåne län;12;Samtliga;Matematik;459;240;219;88,9;91,3;86,3;12,5;12,8;12,2;
Ängelholm;1292;Skåne län;12;Kommunal;Matematik;446;235;211;88,8;91,5;85,8;12,5;12,8;12,0;
Ängelholm;1292;Skåne län;12;Enskild;Matematik;13;..;..;~100;..;..;13,8;..;..;
Öckerö;1407;Västra Götalands län;14;Samtliga;Matematik;167;82;85;91,6;92,7;90,6;12,7;12,9;12,4;
Öckerö;1407;Västra Götalands län;14;Kommunal;Matematik;149;73;76;91,9;~100;..;12,7;13,2;12,3;
Öckerö;1407;Västra Götalands län;14;Enskild;Matematik;18;..;..;~100;..;..;12,1;..;..;
Ödeshög;0509;Östergötlands län;05;Samtliga;Matematik;68;31;37;73,5;83,9;64,9;10,3;11,4;9,3;
Ödeshög;0509;Östergötlands län;05;Kommunal;Matematik;68;31;37;73,5;83,9;64,9;10,3;11,4;9,3;
Örebro;1880;Örebro län;18;Samtliga;Matematik;1 780;869;911;86,7;87,0;86,4;12,2;12,3;12,1;
Örebro;1880;Örebro län;18;Kommunal;Matematik;1 246;592;654;84,3;84,1;84,4;11,8;12,0;11,7;
Örebro;1880;Örebro län;18;Enskild;Matematik;534;277;257;92,3;93,1;91,4;13,1;13,1;13,1;
Örkelljunga;1257;Skåne län;12;Samtliga;Matematik;105;56;49;80,0;89,3;69,4;10,8;11,9;9,5;
Örkelljunga;1257;Skåne län;12;Kommunal;Matematik;102;53;49;79,4;88,7;69,4;10,8;12,0;9,5;
Örkelljunga;1257;Skåne län;12;Enskild;Matematik;..;..;..;..;..;.;..;..;.;
Örnsköldsvik;2284;Västernorrlands län;22;Samtliga;Matematik;656;325;331;87,2;88,9;85,5;12,3;12,9;11,7;
Örnsköldsvik;2284;Västernorrlands län;22;Kommunal;Matematik;634;317;317;87,4;89,3;85,5;12,3;13,0;11,7;
Örnsköldsvik;2284;Västernorrlands län;22;Enskild;Matematik;22;..;..;~100;..;~100;11,4;..;11,6;
Östersund;2380;Jämtlands län;23;Samtliga;Matematik;700;355;345;87,4;89,3;85,5;12,1;12,4;11,8;
Östersund;2380;Jämtlands län;23;Kommunal;Matematik;577;290;287;86,1;87,2;85,0;11,8;12,1;11,6;
Östersund;2380;Jämtlands län;23;Enskild;Matematik;123;65;58;93,5;~100;..;13,4;14,0;12,8;
Österåker;0117;Stockholms län;01;Samtliga;Matematik;521;267;254;91,4;93,6;89,0;13,5;13,7;13,3;
Österåker;0117;Stockholms län;01;Kommunal;Matematik;389;209;180;91,0;92,3;89,4;13,4;13,5;13,2;
Österåker;0117;Stockholms län;01;Enskild;Matematik;132;58;74;92,4;~100;..;13,8;14,2;13,6;
Östhammar;0382;Uppsala län;03;Samtliga;Matematik;234;136;98;83,3;82,4;84,7;11,2;11,2;11,2;
Östhammar;0382;Uppsala län;03;Kommunal;Matematik;234;136;98;83,3;82,4;84,7;11,2;11,2;11,2;
Östra Göinge;1256;Skåne län;12;Samtliga;Matematik;170;80;90;77,1;80,0;74,4;10,8;11,2;10,5;
Östra Göinge;1256;Skåne län;12;Kommunal;Matematik;162;77;85;76,5;79,2;74,1;10,8;11,1;10,5;
Östra Göinge;1256;Skåne län;12;Enskild;Matematik;..;..;..;..;..;..;..;..;..;
Överkalix;2513;Norrbottens län;25;Samtliga;Matematik;27;10;17;~100;..;~100;11,0;14,0;9,3;
Överkalix;2513;Norrbottens län;25;Kommunal;Matematik;19;..;..;~100;..;..;10,3;..;8,8;
Överkalix;2513;Norrbottens län;25;Enskild;Matematik;..;..;..;..;..;..;..;..;..;
Övertorneå;2518;Norrbottens län;25;Samtliga;Matematik;50;25;25;~100;~100;~100;11,8;12,1;11,5;
Övertorneå;2518;Norrbottens län;25;Kommunal;Matematik;42;20;22;~100;~100;~100;11,3;11,4;11,3;
Övertorneå;2518;Norrbottens län;25;Enskild;Matematik;..;..;..;..;..;..;..;..;..;
Ale;1440;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Ale;1440;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Ale;1440;Västra Götalands län;14;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Alingsås;1489;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Alingsås;1489;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Alingsås;1489;Västra Götalands län;14;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Alvesta;0764;Kronobergs län;07;Samtliga;Moderna språk som elevens val;32;12;20;84,4;~100;~100;9,8;11,5;8,8;
Alvesta;0764;Kronobergs län;07;Kommunal;Moderna språk som elevens val;32;12;20;84,4;~100;~100;9,8;11,5;8,8;
Alvesta;0764;Kronobergs län;07;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Aneby;0604;Jönköpings län;06;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Aneby;0604;Jönköpings län;06;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Aneby;0604;Jönköpings län;06;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Arboga;1984;Västmanlands län;19;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Arboga;1984;Västmanlands län;19;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Arjeplog;2506;Norrbottens län;25;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Arjeplog;2506;Norrbottens län;25;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Arvika;1784;Värmlands län;17;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Arvika;1784;Värmlands län;17;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Askersund;1882;Örebro län;18;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Askersund;1882;Örebro län;18;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Avesta;2084;Dalarnas län;20;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Avesta;2084;Dalarnas län;20;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Avesta;2084;Dalarnas län;20;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Berg;2326;Jämtlands län;23;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Berg;2326;Jämtlands län;23;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Berg;2326;Jämtlands län;23;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bjurholm;2403;Västerbottens län;24;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bjurholm;2403;Västerbottens län;24;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bjuv;1260;Skåne län;12;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bjuv;1260;Skåne län;12;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Boden;2582;Norrbottens län;25;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Boden;2582;Norrbottens län;25;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Boden;2582;Norrbottens län;25;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bollebygd;1443;Västra Götalands län;14;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bollnäs;2183;Gävleborgs län;21;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Borgholm;0885;Kalmar län;08;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Borgholm;0885;Kalmar län;08;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Borlänge;2081;Dalarnas län;20;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Borlänge;2081;Dalarnas län;20;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Borlänge;2081;Dalarnas län;20;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Borås;1490;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Borås;1490;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Borås;1490;Västra Götalands län;14;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Botkyrka;0127;Stockholms län;01;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Botkyrka;0127;Stockholms län;01;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Botkyrka;0127;Stockholms län;01;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Boxholm;0560;Östergötlands län;05;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Boxholm;0560;Östergötlands län;05;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bromölla;1272;Skåne län;12;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bromölla;1272;Skåne län;12;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bräcke;2305;Jämtlands län;23;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Bräcke;2305;Jämtlands län;23;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Burlöv;1231;Skåne län;12;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Burlöv;1231;Skåne län;12;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Båstad;1278;Skåne län;12;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Båstad;1278;Skåne län;12;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Båstad;1278;Skåne län;12;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Danderyd;0162;Stockholms län;01;Samtliga;Moderna språk som elevens val;20;..;..;100,0;100,0;..;17,9;18,0;..;
Danderyd;0162;Stockholms län;01;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Danderyd;0162;Stockholms län;01;Enskild;Moderna språk som elevens val;20;..;..;100,0;100,0;..;17,9;18,0;..;
Degerfors;1862;Örebro län;18;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Degerfors;1862;Örebro län;18;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Eda;1730;Värmlands län;17;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Eda;1730;Värmlands län;17;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Ekerö;0125;Stockholms län;01;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Ekerö;0125;Stockholms län;01;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Ekerö;0125;Stockholms län;01;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Eksjö;0686;Jönköpings län;06;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Eksjö;0686;Jönköpings län;06;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Eksjö;0686;Jönköpings län;06;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Emmaboda;0862;Kalmar län;08;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Emmaboda;0862;Kalmar län;08;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Enköping;0381;Uppsala län;03;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Enköping;0381;Uppsala län;03;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Enköping;0381;Uppsala län;03;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Eskilstuna;0484;Södermanlands län;04;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Eslöv;1285;Skåne län;12;Samtliga;Moderna språk som elevens val;..;..;..;..;..;..;..;..;..;
Eslöv;1285;Skåne län;12;Kommunal;Moderna språk som elevens val;..;..;..;..;..;..;..;..;..;
Eslöv;1285;Skåne län;12;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Essunga;1445;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Essunga;1445;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Fagersta;1982;Västmanlands län;19;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Fagersta;1982;Västmanlands län;19;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Fagersta;1982;Västmanlands län;19;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Falkenberg;1382;Hallands län;13;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Falkenberg;1382;Hallands län;13;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Falkenberg;1382;Hallands län;13;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Falköping;1499;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;..;..;..;..;..;..;..;..;..;
Falköping;1499;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Falköping;1499;Västra Götalands län;14;Enskild;Moderna språk som elevens val;..;..;..;..;..;..;..;..;..;
Falun;2080;Dalarnas län;20;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Falun;2080;Dalarnas län;20;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Falun;2080;Dalarnas län;20;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Filipstad;1782;Värmlands län;17;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Filipstad;1782;Värmlands län;17;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Filipstad;1782;Värmlands län;17;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Finspång;0562;Östergötlands län;05;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Finspång;0562;Östergötlands län;05;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Finspång;0562;Östergötlands län;05;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Flen;0482;Södermanlands län;04;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Flen;0482;Södermanlands län;04;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Flen;0482;Södermanlands län;04;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Forshaga;1763;Värmlands län;17;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Forshaga;1763;Värmlands län;17;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Färgelanda;1439;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Färgelanda;1439;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Färgelanda;1439;Västra Götalands län;14;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gagnef;2026;Dalarnas län;20;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gagnef;2026;Dalarnas län;20;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gislaved;0662;Jönköpings län;06;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gislaved;0662;Jönköpings län;06;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gislaved;0662;Jönköpings län;06;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gnesta;0461;Södermanlands län;04;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gnesta;0461;Södermanlands län;04;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gnesta;0461;Södermanlands län;04;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gnosjö;0617;Jönköpings län;06;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gnosjö;0617;Jönköpings län;06;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gotland;0980;Gotlands län;09;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gotland;0980;Gotlands län;09;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gotland;0980;Gotlands län;09;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Grums;1764;Värmlands län;17;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Grums;1764;Värmlands län;17;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Grums;1764;Värmlands län;17;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Grästorp;1444;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Grästorp;1444;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gullspång;1447;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gullspång;1447;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gällivare;2523;Norrbottens län;25;Statlig;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gällivare;2523;Norrbottens län;25;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gällivare;2523;Norrbottens län;25;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gällivare;2523;Norrbottens län;25;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gävle;2180;Gävleborgs län;21;Samtliga;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gävle;2180;Gävleborgs län;21;Kommunal;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Gävle;2180;Gävleborgs län;21;Enskild;Moderna språk som elevens val;.;.;.;.;.;.;.;.;.;
Göteborg;1480;Västra Götalands län;14;Samtliga;Moderna språk som elevens val;85;42;43;90,6;~100;..;12,9;14,0;11,7;
Göteborg;1480;Västra Götalands län;14;Kommunal;Moderna språk som elevens val;58;27;31;~100;100,0;~100;13,5;15,2;12,0;
