Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Betyg per ämne årskurs 6
Valt läsår: 2018/19

;;;;;;Antal elever;Antal elever;Antal elever;Andel (%) med A-E;Andel (%) med A-E;Andel (%) med A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Filipstad;1782;Värmlands län;17;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Finspång;0562;Östergötlands län;05;Samtliga;Bild;226;95;131;96,0;~100;..;13,5;14,9;12,5;
Finspång;0562;Östergötlands län;05;Kommunal;Bild;217;89;128;95,9;~100;..;13,6;15,1;12,5;
Finspång;0562;Östergötlands län;05;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Flen;0482;Södermanlands län;04;Samtliga;Bild;178;82;96;88,8;~100;..;11,9;14,8;9,5;
Flen;0482;Södermanlands län;04;Kommunal;Bild;114;48;66;82,5;~100;..;10,8;14,2;8,3;
Flen;0482;Södermanlands län;04;Enskild;Bild;64;34;30;100,0;100,0;100,0;13,9;15,6;12,0;
Forshaga;1763;Värmlands län;17;Samtliga;Bild;141;67;74;~100;100,0;~100;13,5;14,8;12,3;
Forshaga;1763;Värmlands län;17;Kommunal;Bild;141;67;74;~100;100,0;~100;13,5;14,8;12,3;
Färgelanda;1439;Västra Götalands län;14;Samtliga;Bild;73;31;42;~100;~100;~100;11,8;13,4;10,7;
Färgelanda;1439;Västra Götalands län;14;Kommunal;Bild;61;27;34;~100;~100;~100;11,5;13,1;10,2;
Färgelanda;1439;Västra Götalands län;14;Enskild;Bild;12;..;..;100,0;..;..;13,5;..;..;
Gagnef;2026;Dalarnas län;20;Samtliga;Bild;115;47;68;~100;100,0;~100;13,6;15,2;12,4;
Gagnef;2026;Dalarnas län;20;Kommunal;Bild;115;47;68;~100;100,0;~100;13,6;15,2;12,4;
Gislaved;0662;Jönköpings län;06;Samtliga;Bild;384;188;196;97,4;~100;..;14,1;16,0;12,4;
Gislaved;0662;Jönköpings län;06;Kommunal;Bild;375;185;190;97,3;~100;..;14,2;16,0;12,4;
Gislaved;0662;Jönköpings län;06;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Gnesta;0461;Södermanlands län;04;Samtliga;Bild;112;57;55;~100;~100;~100;13,1;14,6;11,6;
Gnesta;0461;Södermanlands län;04;Kommunal;Bild;112;57;55;~100;~100;~100;13,1;14,6;11,6;
Gnesta;0461;Södermanlands län;04;Enskild;Bild;.;.;.;.;.;.;.;.;.;
Gnosjö;0617;Jönköpings län;06;Samtliga;Bild;108;56;52;~100;100,0;~100;13,3;14,3;12,1;
